"10908る 祇︽秖舦基计菌戈"
"ら戳","秨絃计","程蔼计","程计","Μ絃计",
"109/08/03","12,642.73","12,673.02","12,506.59","12,513.03",
"109/08/04","12,577.88","12,709.92","12,577.88","12,709.92",
"109/08/05","12,762.34","12,816.39","12,739.99","12,802.30",
"109/08/06","12,894.24","12,971.87","12,851.20","12,913.50",
"109/08/07","12,901.43","12,912.63","12,791.18","12,828.87",
"109/08/10","12,786.80","12,933.16","12,786.80","12,894.00",
"109/08/11","12,856.46","12,906.01","12,780.19","12,780.19",
"109/08/12","12,713.63","12,730.96","12,625.54","12,670.35",
"109/08/13","12,758.87","12,812.80","12,717.13","12,763.13",
"109/08/14","12,709.97","12,801.31","12,679.19","12,795.46",
"109/08/17","12,813.94","12,956.11","12,800.69","12,956.11",
"109/08/18","12,974.96","12,981.58","12,840.25","12,872.14",
"109/08/19","12,904.84","12,950.11","12,778.64","12,778.64",
"109/08/20","12,764.75","12,764.75","12,144.76","12,362.64",
"109/08/21","12,462.52","12,638.65","12,462.52","12,607.84",
"109/08/24","12,629.78","12,702.94","12,567.95","12,647.13",
"109/08/25","12,706.40","12,814.56","12,698.85","12,758.25",
"109/08/26","12,768.96","12,833.29","12,734.69","12,833.29",
"109/08/27","12,888.65","12,960.68","12,786.45","12,797.31",
"109/08/28","12,759.30","12,799.16","12,674.57","12,728.85",
"109/08/31","12,763.44","12,831.38","12,591.45","12,591.45",
